company_name,country,hall,booth,brands,representatives,source_page_url,source_record_url
TECNOMAGNETE (MAG-AUTOBLOK),Italy,9,918,,,https://www.maktekfuari.com/en/exhibitor-list?page=80,https://www.maktekfuari.com/en/brand/tecnomagnete-mag-autoblok
TECNOSTAMP SRL,Italy,3,309,,,https://www.maktekfuari.com/en/exhibitor-list?page=80,https://www.maktekfuari.com/en/brand/tecnostamp-srl
TECUS CNC MAKİNA SANAYİ TİCARET AŞ,Türki̇ye,7,717,HAAS AUTOMATION INC.,Haas,https://www.maktekfuari.com/en/exhibitor-list?page=81,https://www.maktekfuari.com/en/brand/tecus-cnc-makina-sanayi-ticaret-as
TEKİŞ TEKNİK EROZYON KALIP SAN. VE TİC. A.Ş.,Türki̇ye,7,718,,,https://www.maktekfuari.com/en/exhibitor-list?page=81,https://www.maktekfuari.com/en/brand/tekis-teknik-erozyon-kalip-san-ve-tic-as
TEKNİK DÖKÜM KAPLAMA MALZEMELERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Türki̇ye,11A,06,,"C.E.I.A. S.p.A., Lampert Werktechnik GmbH, NGL Cleaning Technology SA, MTA S.p.A. a socio unico",https://www.maktekfuari.com/en/exhibitor-list?page=81,https://www.maktekfuari.com/en/brand/teknik-dokum-kaplama-malzemeleri-sanayi-ve-ticaret-anonim-sirketi
TEKNİK ÖLÇÜM SİS. VE KES. TAK. SAN. VE TİC. LTD. ŞTİ.,Türki̇ye,11,1114,"ACCUD, IBR, SCHNEIDER, STARRETT, WYLER, PETER HIRT, KAFER, KROEPLIN, BOWERS, HELIOS-PREISSER",,https://www.maktekfuari.com/en/exhibitor-list?page=81,https://www.maktekfuari.com/en/brand/teknik-olcum-sis-ve-kes-tak-san-ve-tic-ltd-sti
TEKNO 2000 PAZARLAMA VE İNŞAAT TİC. LTD. ŞTİ.,Türki̇ye,3,317A,"WILSON TOOL, TOOLSPRESS, LVD, BEHRINGER, BEHRINGER EISELE, VERNET BEHRINGER, EHRT, LISSMAC, PASS","WILSON TOOL, BEHRINGER, BEHRINGER EISELE, EHRT, VERNET BEHRINGER, LISSMAC, TOOLSPRESS, LVD, PASS",https://www.maktekfuari.com/en/exhibitor-list?page=81,https://www.maktekfuari.com/en/brand/tekno-2000-pazarlama-ve-insaat-tic-ltd-sti
TEKNOMASYON MAKİNA MET. EL. TUR. SAN. VE TİC. LTD. ŞTİ.,Türki̇ye,10,1011,,,https://www.maktekfuari.com/en/exhibitor-list?page=81,https://www.maktekfuari.com/en/brand/teknomasyon-makina-met-el-tur-san-ve-tic-ltd-sti
TEKOMA HASSAS TUTUCU TAKIMLAR MAK. SAN. TİC. LTD. ŞTİ.,Türki̇ye,11,1179,,,https://www.maktekfuari.com/en/exhibitor-list?page=81,https://www.maktekfuari.com/en/brand/tekoma-hassas-tutucu-takimlar-mak-san-tic-ltd-sti
TEKYAZ TEKNOLOJİK YAZILIMLAR VE MAK.TİCARET AŞ.,Türki̇ye,12,1203,,"DASSAULT SYSTEM, SolidCAM, Cimatron",https://www.maktekfuari.com/en/exhibitor-list?page=81,https://www.maktekfuari.com/en/brand/tekyaz-teknolojik-yazilimlar-ve-makticaret-as
TEMAK TEKNİK TAKIM TEZGAHLARI SANAYİ VE TİCARET ANONİM ŞİRKETİ,Türki̇ye,11,1148A,,"GERARDİ SPA, NAREX Zdánice, spol. s r.o., IZAR CUTTING TOOLS S.A.L., ASIMETO, BISON S.A., VERTEX MACHINERY WORKS CO. ,LTD., CP GRAT-EX MFG. CO., HARLİNGEN TOOLS, ZPS - FRÉZOVACÍ NÁSTROJE a.s., Bucovice Tools a.s., GEWINDEWERKZEUGE GABROVO GmbH",https://www.maktekfuari.com/en/exhibitor-list?page=81,https://www.maktekfuari.com/en/brand/temak-teknik-takim-tezgahlari-sanayi-ve-ticaret-anonim-sirketi
TEMELSAN MAKİNA SAN.VE TİC.LTD.ŞTİ.,Türki̇ye,2,203,TEMELSAN,ZAGORASAW LLC,https://www.maktekfuari.com/en/exhibitor-list?page=81,https://www.maktekfuari.com/en/brand/temelsan-makina-sanve-ticltdsti
TEMREN MAKİNA İMALAT MÜHENDİSLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Türki̇ye,6,612B,,,https://www.maktekfuari.com/en/exhibitor-list?page=81,https://www.maktekfuari.com/en/brand/temren-makina-imalat-muhendislik-sanayi-ve-ticaret-limited-sirketi
TESE MAKİNE SAN. VE TİC. LTD. ŞTİ.,Türki̇ye,11,1103,,"REGO-FIX AG., SUHNER SCHWEIZ AG., Tapmatic Corporation",https://www.maktekfuari.com/en/exhibitor-list?page=81,https://www.maktekfuari.com/en/brand/tese-makine-san-ve-tic-ltd-sti
TESKAY TESTERE MAKİNA HIRDAVAT SAN. TİC. LTD. ŞTİ.,Türki̇ye,2,220C,SİMONDS ŞERİT TESTERE R-TECH HSS DAİRE TESTERE WİLKE ELMAS DAİRE TESTERE,,https://www.maktekfuari.com/en/exhibitor-list?page=82,https://www.maktekfuari.com/en/brand/teskay-testere-makina-hirdavat-san-tic-ltd-sti
Test Industry S.r.l. - Bimal Brand,Italy,11,1129,,,https://www.maktekfuari.com/en/exhibitor-list?page=82,https://www.maktekfuari.com/en/brand/test-industry-srl-bimal-brand
